Devarabeesanahalli
Devanhalli
Summanahalli
Kamakshipalya
Kammanahalli
Madivala
Belathur
Gottigere
Science Institute
Vasanthnagar
Cubban Road
Jayangar III Block
Chikkabanavara
Dasarahalli
Herohalli
Yelahanka New Town
C.V.Raman Nagar
Jalahalli East
MSR Road
Chamrajpet Bazar
Bagalgunte
Sri Mahaganapathi Nagar
Basaveswaranagar II Stage
Jalahalli West
Peenya Small Industries
HMT Staff Quarters
Mavalli
Jayanagar
Jayangar East
Veerasandra
Sivan Chetty Gardens
Bangalore Sub Fgn Post
Vyalikaval Extn
Maruthi Sevanagar
Benson Town
Training Command IAF
Aranya Bhavan
New Thippasandra
Jeevanahalli
Indiranagar Com. Complex
Domlur
Bangalore Air Port
Dharmaram College
Kothnur
Shanthinagar
Hosur Road
Austin Town
Narayan Pillai Street
KP West
Ramachandrapuram
Gayathrinagar
Chikkabettahalli
Govindapalya
Krishnarajapuram RS
Kalyanagar
Bhattarahalli
Gaviopuram Extension
Kanteeravanagar
Goraguntepalya
KG Road
Anandnagar
P&T Col Kavalbyrasandra
Devarjeevanahalli
Thanisandra
Amruthahalli
GKVK
Uttarahalli
Ashoknagar
Tyagrajnagar
Jayanagar West
Girinagar
Adugodi
Madivala
Bommanahalli
Kothanur
Agara
Whitefield
Varthur
Panathur
Doddakannalli
Mahadevapura
Bagalur
Hampinagar
Bapujinagar
Magadi Road
Rv Niketan
Kenchanahalli
Kengeri
Basaveshwaranagar
Konappana Agrahara
Bnagalore Viswavidalaya
Nagarbhavi Stage 4
Chandra Lay Out
Doddanekkundi
Nagarbhavi
Agram
Someswarapura
J P Nagar
JC Nagar
Nayandahalli
Avani Sringeri Mutt
Balepete
Seshadripuram
Jakkur
Lingarajapuram
Krishnarajapura
Koramangala
